State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.43,5.41,5.26,4.55,4.45,4.28,4.44,4.21,4.02,3.76,3.81,3.85,3.88,3.81,3.62,3.56,3.81,3.92,3.83,3.49,3.46,3.68,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22,11.16,10.71,10.73,10.35,10.35,10.04,10.56,10.11,9.94,9.56,9.38,9.43,9.72,9.26,8.93,8.93,8.92,8.7,8.4,8.09,7.98,7.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,9.2,9.05,8.96,8.63,8.4,8.38,8.4,8.56,8.55,8.66,8.96,9.1,9.3,8.77,8.58,8.89,8.78,8.52,8.41,8.49,8.52,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66,9.46,9.38,9.4,9.49,9.29,9.11,8.81,8.85,8.6,8.73,8.4,7.94,8.47,8.02,7.36,7.45,7.57,7.21,7.18,6.83,6.92,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.73,13.11,12.23,12.16,11.69,11.74,11.48,10.94,10.19,9.66,9.25,8.84,8.56,8.92,8.81,8.41,8.59,8.32,8,8.09,7.98,8.17,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.49,8.26,7.84,8.04,7.59,7.23,7.21,7.15,6.97,6.57,6.27,6.22,6.13,6.1,6.21,6.11,6.22,5.83,5.64,5.48,5.38,5.2,5.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43,7.13,6.97,6.93,6.51,6.54,6.49,6.52,6.36,6.1,6.19,5.96,5.7,5.76,5.47,5.3,5.43,5.52,5.31,5.17,5.04,5.14,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26,6.63,6.18,6.45,6.28,6.12,6.02,6.13,5.99,5.81,5.78,5.34,5.8,5.53,5.27,4.47,4.83,4.91,4.86,4.62,4.57,4.69,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92,7.73,7.48,7.19,6.64,6.05,5.96,6.04,5.76,5.84,5.42,5.34,5.45,5.25,5.28,5.01,4.94,4.7,4.46,4.43,4.23,3.91,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,8.05,8.15,8.05,7.85,7.86,7.54,7.4,7.48,7,7.1,7.16,6.86,6.83,6.64,6.33,6.65,6.7,6.29,6.18,6.18,6.24,5.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95,12.22,11.55,11.89,11.78,12.03,11.31,11.53,11.24,11.44,11.87,11.45,10.44,10.97,10.61,10.54,10.71,11.2,10.92,11,10.79,11.56,11.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.45,16.34,15.85,15.46,14.97,14.66,15.05,14.28,13.77,12.72,12.98,12.63,12.65,13.57,14.14,14.33,14.01,13.85,12.71,13.26,14.12,14.41,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,7.89,7.65,7.52,7.24,7.23,7.05,6.94,6.71,6.48,6.46,6.33,6.18,6.25,6.12,5.83,5.89,5.81,5.59,5.49,5.38,5.41,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
